day_of_year,day_of_month,day_of_week,week_,month_,quarter_,year_,event_count,org_ct,ind_ct,repo_watch_event_count,repo,user_event_count,username
91,1,2,13,4,2,2019,1864225,621450,1242775,17217,996icu/996.ICU,60,MarcoMancha
92,2,3,13,4,2,2019,1989278,666506,1322772,14745,996icu/996.ICU,80,opentable-devops
93,3,4,13,4,2,2019,1994220,671479,1322741,15635,996icu/996.ICU,49,harrietty
94,4,5,13,4,2,2019,1959813,674164,1285649,12608,996icu/996.ICU,52,opentable-devops
95,5,6,13,4,2,2019,1682800,570712,1112088,3835,996icu/996.ICU,124,bvcms-teamcity
96,6,7,13,4,2,2019,1133556,282998,850558,3568,996icu/996.ICU,41,ellenspertus
97,7,1,14,4,2,2019,1231442,297841,933601,3829,996icu/996.ICU,143,adityagaurav2018
98,8,2,14,4,2,2019,1983136,653818,1329318,11280,996icu/996.ICU,195,ataylorme
99,9,3,14,4,2,2019,1815750,593954,1221796,9843,996icu/996.ICU,41,latobarita
100,10,4,14,4,2,2019,1995154,665780,1329374,6938,996icu/996.ICU,58,dongchan55
101,11,5,14,4,2,2019,1930626,636724,1293902,4886,996icu/996.ICU,36,ViachaslauKarotki
102,12,6,14,4,2,2019,1818809,605394,1213415,3540,996icu/996.ICU,46,xavierlepretre
103,13,7,14,4,2,2019,1213140,300097,913043,2888,996icu/996.ICU,84,VeikoSoomets
104,14,1,15,4,2,2019,1230377,291033,939344,2263,996icu/996.ICU,62,miroslav-lee
105,15,2,15,4,2,2019,1857094,622352,1234742,4370,996icu/996.ICU,78,xavierlepretre
106,16,3,15,4,2,2019,1962432,658973,1303459,3511,996icu/996.ICU,67,xavierlepretre
107,17,4,15,4,2,2019,1866750,630763,1235987,2474,996icu/996.ICU,50,kitejung01
108,18,5,15,4,2,2019,1783497,605852,1177645,2058,996icu/996.ICU,114,xavierlepretre
109,19,6,15,4,2,2019,1545986,476435,1069551,1608,996icu/996.ICU,49,kangwonlee
110,20,7,15,4,2,2019,1109098,275923,833175,1029,RomuloOliveira/commit-messages-guide,254,Mdbadsax1
111,21,1,16,4,2,2019,1104139,258038,846101,622,996icu/996.ICU,95,rrivas-utec
112,22,2,16,4,2,2019,1740128,506205,1233923,8176,openbilibili/go-common,49,kdrozdov
113,23,3,16,4,2,2019,1977780,655065,1322715,4310,MSWorkers/support.996.ICU,60,tarasenkoMariya
114,24,4,16,4,2,2019,1967315,667395,1299920,3555,996icu/996.ICU,70,xavierlepretre
115,25,5,16,4,2,2019,1900963,643143,1257820,1765,996icu/996.ICU,109,Freeman699
116,26,6,16,4,2,2019,1767713,596374,1171339,1185,996icu/996.ICU,49,adrinekocharian
117,27,7,16,4,2,2019,1170934,294465,876469,1118,TheAlgorithms/Python,39,JoyceQwQ
118,28,1,17,4,2,2019,1293283,323122,970161,2814,TheAlgorithms/Python,66,kangwonlee
119,29,2,17,4,2,2019,1833270,613795,1219475,1865,TheAlgorithms/Python,84,xavierlepretre
120,30,3,17,4,2,2019,1858827,624722,1234105,1250,TheAlgorithms/Python,40,MykolaSolyanko
121,1,4,17,5,2,2019,1548831,490451,1058380,589,TheAlgorithms/Python,86,AleksNeStu
122,2,5,17,5,2,2019,1753541,590959,1162582,1291,jackfrued/Python-100-Days,60,MykolaSolyanko
123,3,6,17,5,2,2019,1636042,546374,1089668,864,jackfrued/Python-100-Days,25,xavierlepretre
124,4,7,17,5,2,2019,1169493,294208,875285,793,jackfrued/Python-100-Days,49,aranbruce
125,5,1,18,5,2,2019,1308060,318382,989678,1473,jackfrued/Python-100-Days,68,MykolaSolyanko
126,6,2,18,5,2,2019,1824052,595748,1228304,2321,jackfrued/Python-100-Days,118,GitCop
127,7,3,18,5,2,2019,1903718,663244,1240474,14419,microsoft/Terminal,60,adelRestom
128,8,4,18,5,2,2019,1643195,562891,1080304,7980,microsoft/Terminal,38,opentable-devops
129,9,5,18,5,2,2019,1847545,632547,1214998,3857,microsoft/Terminal,103,xavierlepretre
130,10,6,18,5,2,2019,1763159,599400,1163759,2521,microsoft/Terminal,49,linxi1993
131,11,7,18,5,2,2019,1145406,296769,848637,1492,microsoft/Terminal,22,adelRestom
132,12,1,19,5,2,2019,1158940,286111,872829,1313,DeadBread76/Raid-Toolbox,66,mbakhoff
133,13,2,19,5,2,2019,1839282,625640,1213642,1486,lettier/3d-game-shaders-for-beginners,71,xavierlepretre
134,14,3,19,5,2,2019,1949326,662783,1286543,1113,dwmkerr/hacker-laws,44,kdrozdov
135,15,4,19,5,2,2019,1913048,654871,1258177,1447,jackfrued/Python-100-Days,71,kdrozdov
136,16,5,19,5,2,2019,1885404,644525,1240879,1484,jackfrued/Python-100-Days,46,heitorPB
137,17,6,19,5,2,2019,1720294,588876,1131418,964,jackfrued/Python-100-Days,72,PeterMarotiGFA
138,18,7,19,5,2,2019,1104451,282192,822259,571,jackfrued/Python-100-Days,29,kdrozdov
139,19,1,20,5,2,2019,1156454,280429,876025,1161,jackfrued/Python-100-Days,42,maestro930
140,20,2,20,5,2,2019,1798921,604940,1193981,958,jackfrued/Python-100-Days,194,termux-io
141,21,3,20,5,2,2019,1905163,638617,1266546,1076,weskerfoot/DeleteFB,41,termux-io
142,22,4,20,5,2,2019,1881536,635401,1246135,758,jlevy/the-art-of-command-line,56,tarasenkoMariya
143,23,5,20,5,2,2019,1893509,643879,1249630,2934,jlevy/the-art-of-command-line,31,xamarin-release-manager
144,24,6,20,5,2,2019,1743111,598881,1144230,1235,jlevy/the-art-of-command-line,59,BLRplex
145,25,7,20,5,2,2019,1112112,294126,817986,545,jlevy/the-art-of-command-line,91,Ash258
146,26,1,21,5,2,2019,1100546,268827,831719,538,jlevy/the-art-of-command-line,34,pjoe652
147,27,2,21,5,2,2019,1652018,501516,1150502,750,jlevy/the-art-of-command-line,104,sharapat
148,28,3,21,5,2,2019,1879353,635936,1243417,757,jackfrued/Python-100-Days,62,keeteean
149,29,4,21,5,2,2019,1794698,601485,1193213,1664,metafizzy/zdog,68,xavierlepretre
150,30,5,21,5,2,2019,1818088,597682,1220406,1041,metafizzy/zdog,34,eddygonzalez9708
151,31,6,21,5,2,2019,1767137,581985,1185152,858,algorithm-visualizer/algorithm-visualizer,55,xamarin-release-manager
152,1,7,21,6,2,2019,1126928,291159,835769,933,github/semantic,23,ma8ma
153,2,1,22,6,2,2019,1139035,277044,861991,547,jlevy/the-art-of-command-line,29,DimasikAlmazzik
154,3,2,22,6,2,2019,1814669,615748,1198921,823,jlevy/the-art-of-command-line,52,kgryte
155,4,3,22,6,2,2019,1892186,643870,1248316,903,jlevy/the-art-of-command-line,43,Planeshifter
156,5,4,22,6,2,2019,1901771,649602,1252169,1349,jlevy/the-art-of-command-line,38,adelRestom
157,6,5,22,6,2,2019,1883925,632464,1251461,1936,imhuster/Enterprise-Registration-Data-of-Chinese-Mainland,38,xavierlepretre
158,7,6,22,6,2,2019,1620873,552280,1068593,895,rasbt/deeplearning-models,34,61830
159,8,7,22,6,2,2019,1052975,269930,783045,857,rasbt/deeplearning-models,32,MykolaSolyanko
