day_of_year,day_of_month,day_of_week,week_,month_,quarter_,year_,event_count,org_ct,ind_ct,repo_watch_event_count,repo,user_event_count,username
295,22,3,42,10,4,2019,2273386,739677,1533709,407,ripienaar/free-for-dev,46,habibieeddien
296,23,4,42,10,4,2019,2196504,726405,1470099,467,JesseKPhillips/USA-Constitution,53,kimho1215
297,24,5,42,10,4,2019,1987050,670099,1316951,919,JesseKPhillips/USA-Constitution,46,russo-matrosso
298,25,6,42,10,4,2019,1894291,627669,1266622,635,polynote/polynote,69,bvcms-teamcity
299,26,7,42,10,4,2019,1272208,311753,960455,494,muhammederdem/credit-card-form,37,xamarin-release-manager
300,27,1,43,10,4,2019,1292776,303834,988942,521,muhammederdem/credit-card-form,72,michalpuskel
301,28,2,43,10,4,2019,2063109,690899,1372210,532,mgartner/pg_flame,43,NICE-TeamCity
302,29,3,43,10,4,2019,2157818,701882,1455936,1229,zeit/swr,34,JuliaRegistrator
303,30,4,43,10,4,2019,2110331,639260,1471071,591,notepad-plus-plus/notepad-plus-plus,41,fs-support
304,31,5,43,10,4,2019,2235588,662599,1572989,592,zeit/swr,130,saziknows
305,1,6,43,11,4,2019,1933665,618078,1315587,475,menzi11/BullshitGenerator,37,bvcms-teamcity
306,2,7,43,11,4,2019,1695409,356105,1339304,531,menzi11/BullshitGenerator,123,jpdelima
307,3,1,44,11,4,2019,1319320,302745,1016575,2332,danistefanovic/build-your-own-x,81,trajanmcgill
308,4,2,44,11,4,2019,2068695,653694,1415001,1256,danistefanovic/build-your-own-x,161,altheqa
309,5,3,44,11,4,2019,2166980,676262,1490718,886,deezer/spleeter,133,fs-support
310,6,4,44,11,4,2019,2260145,752732,1507413,933,deezer/spleeter,99,edburtnieks
311,7,5,44,11,4,2019,2149605,721599,1428006,579,googlevr/cardboard,44,JuliaRegistrator
312,8,6,44,11,4,2019,1986816,664120,1322696,309,tannerlinsley/react-query,31,JuliaRegistrator
313,9,7,44,11,4,2019,1487019,349689,1137330,299,AceLewis/my_first_calculator.py,72,shaunagm
314,10,1,45,11,4,2019,1307091,314149,992942,258,cyberark/bash-lib,73,Pajinell
315,11,2,45,11,4,2019,2059518,666151,1393367,322,jobbole/awesome-programming-books,29,bvcms-teamcity
316,12,3,45,11,4,2019,2203019,727622,1475397,1594,GoogleChromeLabs/react-adaptive-hooks,84,Pako7
317,13,4,45,11,4,2019,2246215,735133,1511082,1902,menzi11/BullshitGenerator,59,aleks-hyf
318,14,5,45,11,4,2019,2124655,712783,1411872,1616,menzi11/BullshitGenerator,55,NICE-TeamCity
319,15,6,45,11,4,2019,2008037,655739,1352298,1081,menzi11/BullshitGenerator,40,IvanYarochkin
320,16,7,45,11,4,2019,1308896,314773,994123,441,menzi11/BullshitGenerator,54,bvcms-teamcity
321,17,1,46,11,4,2019,1353619,310326,1043293,477,dragen1860/Deep-Learning-with-TensorFlow-book,28,JuliaRegistrator
322,18,2,46,11,4,2019,2142209,706751,1435458,1324,dragen1860/Deep-Learning-with-TensorFlow-book,55,xavierlepretre
323,19,3,46,11,4,2019,2202338,731100,1471238,1148,CoatiSoftware/Sourcetrail,81,bvcms-teamcity
324,20,4,46,11,4,2019,2161648,712166,1449482,830,slackhq/nebula,59,JuliaRegistrator
325,21,5,46,11,4,2019,2132409,704700,1427709,905,CoatiSoftware/Sourcetrail,56,xavierlepretre
326,22,6,46,11,4,2019,1975651,643995,1331656,765,liyasthomas/postwoman,37,JuliaRegistrator
327,23,7,46,11,4,2019,1296841,315861,980980,1214,cantaro86/Financial-Models-Numerical-Methods,31,avpatel
328,24,1,47,11,4,2019,1307128,301006,1006122,639,leandromoreira/digital_video_introduction,52,JuliaRegistrator
329,25,2,47,11,4,2019,2186613,700743,1485870,981,chiphuyen/machine-learning-systems-design,57,NICE-TeamCity
330,26,3,47,11,4,2019,2174491,711207,1463284,626,chiphuyen/machine-learning-systems-design,34,BerezovskyyMax
331,27,4,47,11,4,2019,2086999,685300,1401699,780,jwilber/roughViz,77,LeoNerdoG
332,28,5,47,11,4,2019,1865806,572667,1293139,1009,alyssaxuu/flowy,35,JuliaRegistrator
333,29,6,47,11,4,2019,1648604,503154,1145450,652,521xueweihan/HelloGitHub,59,shakmgaming
334,30,7,47,11,4,2019,1234258,295548,938710,405,evil-huawei/evil-huawei,31,maciekp85
335,1,1,48,12,4,2019,1359046,324002,1035044,698,evil-huawei/evil-huawei,28,aditigoswami
336,2,2,48,12,4,2019,2206083,719481,1486602,2804,evil-huawei/evil-huawei,117,NICE-TeamCity
337,3,3,48,12,4,2019,2355203,743553,1611650,2147,evil-huawei/evil-huawei,84,ayazhafiz
338,4,4,48,12,4,2019,2279911,743020,1536891,931,evil-huawei/evil-huawei,76,LeoNerdoG
339,5,5,48,12,4,2019,2223447,715625,1507822,844,evil-huawei/evil-huawei,38,JuliaRegistrator
340,6,6,48,12,4,2019,2173555,666601,1506954,717,trekhleb/nano-neuron,59,bvcms-teamcity
341,7,7,48,12,4,2019,1309011,324870,984141,818,Atarity/deploy-your-own-saas,290,PeacekeeperAlex
342,8,1,49,12,4,2019,1340443,308803,1031640,223,521xueweihan/HelloGitHub,47,JuliaRegistrator
343,9,2,49,12,4,2019,2169633,714127,1455506,439,AIDungeon/AIDungeon,114,msisov
344,10,3,49,12,4,2019,2182407,736184,1446223,445,docker-slim/docker-slim,78,Pako7
345,11,4,49,12,4,2019,2143715,729062,1414653,1214,docker-slim/docker-slim,76,Pako7
346,12,5,49,12,4,2019,2064429,691400,1373029,1509,huginn/huginn,57,bvcms-teamcity
347,13,6,49,12,4,2019,1903109,633741,1269368,1207,huginn/huginn,44,JuliaRegistrator
348,14,7,49,12,4,2019,1270734,338025,932709,314,huginn/huginn,35,xamarin-release-manager
349,15,1,50,12,4,2019,1291426,313563,977863,312,dwarvesf/hidden,47,juan-dev-art
350,16,2,50,12,4,2019,2105302,703483,1401819,276,junerain123/JAV-Scraper-and-Rename-local-files,59,bvcms-teamcity
351,17,3,50,12,4,2019,2098910,718398,1380512,1844,LingDong-/wenyan-lang,86,AlexeyBondarY
352,18,4,50,12,4,2019,2060489,710908,1349581,4478,LingDong-/wenyan-lang,41,Pako7
353,19,5,50,12,4,2019,2102920,702963,1399957,2779,LingDong-/wenyan-lang,117,LeoNerdoG
354,20,6,50,12,4,2019,1978167,621512,1356655,1710,LingDong-/wenyan-lang,161,LeoNerdoG
355,21,7,50,12,4,2019,1146804,288740,858064,580,LingDong-/wenyan-lang,60,madskills700
356,22,1,51,12,4,2019,1141362,274807,866555,341,dosyago/22120,39,yonathan06
357,23,2,51,12,4,2019,1630523,486292,1144231,800,testerSunshine/12306,61,sq-dr-art2
358,24,3,51,12,4,2019,1362873,384414,978459,922,testerSunshine/12306,40,ct-anaalbic
359,25,4,51,12,4,2019,1119265,297933,821332,1127,testerSunshine/12306,40,ValentinaKocharyan
360,26,5,51,12,4,2019,1405039,381163,1023876,1164,testerSunshine/12306,51,qualisBot
361,27,6,51,12,4,2019,1480031,411508,1068523,1158,chinese-poetry/chinese-poetry,78,bvcms-teamcity
362,28,7,51,12,4,2019,1435823,302612,1133211,932,FiloSottile/age,97,JavaItAcademy
363,29,1,52,12,4,2019,1578958,300537,1278421,368,chinese-poetry/chinese-poetry,34,codevidn
364,30,2,52,12,4,2019,1773437,446157,1327280,1732,imsnif/what,79,nadiacomanici
365,31,3,52,12,4,2019,1304708,364482,940226,670,imsnif/bandwhich,108,nadiacomanici
