day_of_year,datetime,week,day_of_week,event_count,org_cnt,ind_cnt
98,2019-04-08 23:59:59 UTC,14,2,1983136,653818,1329318
99,2019-04-09 23:59:59 UTC,14,3,1815750,593954,1221796
100,2019-04-10 23:59:59 UTC,14,4,1995154,665780,1329374
101,2019-04-11 23:59:59 UTC,14,5,1930626,636724,1293902
102,2019-04-12 23:59:59 UTC,14,6,1818809,605394,1213415
103,2019-04-13 23:59:59 UTC,14,7,1213140,300097,913043
104,2019-04-14 23:59:59 UTC,15,1,1230377,291033,939344
105,2019-04-15 23:59:59 UTC,15,2,1857094,622352,1234742
106,2019-04-16 23:59:59 UTC,15,3,1962432,658973,1303459
107,2019-04-17 23:59:59 UTC,15,4,1866750,630763,1235987
108,2019-04-18 23:59:59 UTC,15,5,1783497,605852,1177645
109,2019-04-19 23:59:59 UTC,15,6,1545986,476435,1069551
110,2019-04-20 23:59:59 UTC,15,7,1109098,275923,833175
111,2019-04-21 23:59:59 UTC,16,1,1104139,258038,846101
112,2019-04-22 23:59:59 UTC,16,2,1740128,506205,1233923
113,2019-04-23 23:59:59 UTC,16,3,1977780,655065,1322715
114,2019-04-24 23:59:59 UTC,16,4,1967315,667395,1299920
115,2019-04-25 23:59:59 UTC,16,5,1900963,643143,1257820
116,2019-04-26 23:59:59 UTC,16,6,1767713,596374,1171339
117,2019-04-27 23:59:59 UTC,16,7,1170934,294465,876469
118,2019-04-28 23:59:59 UTC,17,1,1293283,323122,970161
119,2019-04-29 23:59:59 UTC,17,2,1833270,613795,1219475
120,2019-04-30 23:59:59 UTC,17,3,1858827,624722,1234105
121,2019-05-01 23:59:59 UTC,17,4,1548831,490451,1058380
122,2019-05-02 23:59:59 UTC,17,5,1753541,590959,1162582
123,2019-05-03 23:59:59 UTC,17,6,1636042,546374,1089668
124,2019-05-04 23:59:59 UTC,17,7,1169493,294208,875285
125,2019-05-05 23:59:59 UTC,18,1,1308060,318382,989678
126,2019-05-06 23:59:59 UTC,18,2,1824052,595748,1228304
127,2019-05-07 23:59:59 UTC,18,3,1903718,663244,1240474
128,2019-05-08 23:59:59 UTC,18,4,1643195,562891,1080304
129,2019-05-09 23:59:59 UTC,18,5,1847545,632547,1214998
130,2019-05-10 23:59:59 UTC,18,6,1763159,599400,1163759
131,2019-05-11 23:59:59 UTC,18,7,1145406,296769,848637
132,2019-05-12 23:59:59 UTC,19,1,1158940,286111,872829
133,2019-05-13 23:59:59 UTC,19,2,1839282,625640,1213642
134,2019-05-14 23:59:59 UTC,19,3,1949326,662783,1286543
