datetime,day_of_year,week,day_of_week,event_count
"2019-05-20 23:59:59 UTC",140,20,2,1798921
"2019-05-21 23:59:59 UTC",141,20,3,1905163
"2019-05-22 23:59:59 UTC",142,20,4,1881536
"2019-05-23 23:59:59 UTC",143,20,5,1893509
"2019-05-24 23:59:59 UTC",144,20,6,1743111
"2019-05-25 23:59:59 UTC",145,20,7,1112112
"2019-05-26 23:59:59 UTC",146,21,1,1100546
"2019-05-27 23:59:59 UTC",147,21,2,1652018
"2019-05-28 23:59:59 UTC",148,21,3,1879353
"2019-05-29 23:59:59 UTC",149,21,4,1794698
"2019-05-30 23:59:59 UTC",150,21,5,1818088
"2019-05-31 23:59:59 UTC",151,21,6,1767137
"2019-06-01 23:59:59 UTC",152,21,7,1126928
"2019-06-02 23:59:59 UTC",153,22,1,1139035
"2019-06-03 23:59:59 UTC",154,22,2,1814669
"2019-06-04 23:59:59 UTC",155,22,3,1892186
"2019-06-05 23:59:59 UTC",156,22,4,1901771
"2019-06-06 23:59:59 UTC",157,22,5,1883925
"2019-06-07 23:59:59 UTC",158,22,6,1620873
"2019-06-08 23:59:59 UTC",159,22,7,1052975
"2019-06-09 23:59:59 UTC",160,23,1,1096905
"2019-06-10 23:59:59 UTC",161,23,2,1781086
"2019-06-11 23:59:59 UTC",162,23,3,1911290
"2019-06-12 23:59:59 UTC",163,23,4,1902919
"2019-06-13 23:59:59 UTC",164,23,5,1888395
"2019-06-14 23:59:59 UTC",165,23,6,1698211
"2019-06-15 23:59:59 UTC",166,23,7,1053556
"2019-06-16 23:59:59 UTC",167,24,1,1080995
"2019-06-17 23:59:59 UTC",168,24,2,1767629
"2019-06-18 23:59:59 UTC",169,24,3,1827763
"2019-06-19 23:59:59 UTC",170,24,4,1816924
"2019-06-20 23:59:59 UTC",171,24,5,1789041
"2019-06-21 23:59:59 UTC",172,24,6,1676880
"2019-06-22 23:59:59 UTC",173,24,7,1073483
"2019-06-23 23:59:59 UTC",174,25,1,1104918
"2019-06-24 23:59:59 UTC",175,25,2,1814237
"2019-06-25 23:59:59 UTC",176,25,3,1902909
"2019-06-26 23:59:59 UTC",177,25,4,1854221
"2019-06-27 23:59:59 UTC",178,25,5,1851563
