day_of_year,day_of_month,day_of_week,week_,month_,quarter_,year_,event_count,org_ct,ind_ct
352,18,4,50,12,4,2019,2060489,710908,1349581
353,19,5,50,12,4,2019,2102920,702963,1399957
354,20,6,50,12,4,2019,1978167,621512,1356655
355,21,7,50,12,4,2019,1146804,288740,858064
356,22,1,51,12,4,2019,1141362,274807,866555
357,23,2,51,12,4,2019,1630523,486292,1144231
358,24,3,51,12,4,2019,1362873,384414,978459
359,25,4,51,12,4,2019,1119265,297933,821332
360,26,5,51,12,4,2019,1405039,381163,1023876
361,27,6,51,12,4,2019,1480031,411508,1068523
362,28,7,51,12,4,2019,1435823,302612,1133211
363,29,1,52,12,4,2019,1578958,300537,1278421
364,30,2,52,12,4,2019,1773437,446157,1327280
365,31,3,52,12,4,2019,1304708,364482,940226
